"ITEMPLAN MADRE	NOMBRE	PROYECTO	SUB PROYECTO	PRIORIDAD	SOLICITUD	TIPO SOLICITUD	PEP	MONTO	ESTADO SOLICITUD	FECHA CREACION	FECHA VALIDACION	ESTADO FIRMA	ORDEN DE COMPRA	#CERTI.	EECC	ENCARGADO	NUMERO DE CARTA	FECHA DE RECEPCION	ESTADO ITEM MADRE"
"M-24-02-039	CAMBIO DE RECORRIDO DE LA FO EN INTERIOR DEL SITIO EBC LA MAR - PIURA SITE LA MAR	OBRA PUBLICA	TORRERAS	NO	OP-2024-02-00013	CREACION OC	P-0055-24-0006-00053	15,000.00	PENDIENTE	2024-02-07 13:57:03					COBRA	ATC	CORREO MARCO TAFUR	2024/02/02	Registrado"
"M-24-02-038	OVALO FINAL EVITAMIENTO CHICLAYO - SALIDA NORTE LAMBAYEQUE	OBRA PUBLICA	MTC	NO	OP-2024-02-00012	CREACION OC	P-0055-24-0006-00052	15,000.00	PENDIENTE	2024-02-07 13:55:37					COBRA	MTC -DDP 	OFICIO 17881-2023-MTC-19.03.	2024/02/01	Registrado"
"M-24-02-037	ACTUALIZACION DE PUENTE ARENITA - PAIJAN - LA LIBERTAD 	OBRA PUBLICA	MTC	NO	OP-2024-02-00011	CREACION OC	P-0055-24-0006-00051	15,000.00	PENDIENTE	2024-02-07 13:54:49					COBRA	MTC -DDP	0033-2023-MTC_19_03_OFICIO_-_25_08_2023	2024/02/01	Registrado"
"M-24-02-036	DESVIO A PACANGA - PROG KM 709+540 PN CHEPEN - LA LIBERTAD	OBRA PUBLICA	MTC	NO	OP-2024-02-00010	CREACION OC	P-0055-24-0006-00050	15,000.00	PENDIENTE	2024-02-07 13:54:00					COBRA	MTC -DDP	Oficio 0090-2024-MTC-1903	2024/02/01	Registrado"
"M-24-01-032	REUBICACION DE POSTES EN AV ALFONSO UGARTE Y PSJE VELASCO ASTETE URB ZARZUELA - SANTIAGO - CUSCO-	OBRA PUBLICA	MUNICIPALIDADES	NO	OP-2024-02-00009	CREACION OC	P-0055-24-0006-00049	15,000.00	PENDIENTE	2024-02-07 13:53:00					COMFICA	MUNICIPALIDAD DE SANTIAGO - CUSCO	URB ZARZUELA ALTA - MUNI SANTIAGO - CUSCO - V	2024/01/25	Registrado"
"M-24-01-031	PUENTE CRUZ VERDE ( RIO CHICO) Y PUENTE CANAPAY (RIO MATAGENTE)	OBRA PUBLICA	CONSORCIOS PRIVADOS	NO	OP-2024-02-00008	CREACION OC	P-0055-24-0006-00048	15,000.00	PENDIENTE	2024-02-07 13:52:25					DOMINION	CONSORCIO ICAFAL ? FLESAN 	CIF-CAR-V01-2024-019 - TELEFONICA v1	2024/01/25	Registrado"
"M-24-01-030	CARRETERA 28A - TRAMO PAMPANO - SANTA INES  	OBRA PUBLICA	CONSORCIOS PRIVADOS	NO	OP-2024-02-00007	CREACION OC	P-0055-24-0006-00047	30,000.00	PENDIENTE	2024-02-07 13:51:54					DOMINION	CONSORCIO SANTA INES	CONSORCIO SANTA INES -URSI -INCOSA GEOCONSUL 	2024/01/25	Registrado"
"M-24-01-029	ADICIONAL COLECTOR CIRCUNVALACION - M-23-08-040 - AV BENEMERITA GUARDIA CIVIL Y AV MATELLINI	OBRA PUBLICA	CONSORCIOS PRIVADOS	NO	OP-2024-01-00027	CREACION OC	P-0055-24-0006-00046	15,000.00	ATENDIDO	2024-01-26 11:32:20	2024-01-29 14:01:52		9405184651		COMFICA	INTEGRAL INGENIEROS CONSULTORES . SEDAPAL	CARTA N°008? 2024/ INTGR	2024/01/18	Terminado"
"M-24-01-029	ADICIONAL COLECTOR CIRCUNVALACION - M-23-08-040 - AV BENEMERITA GUARDIA CIVIL Y AV MATELLINI	OBRA PUBLICA	CONSORCIOS PRIVADOS	NO	OP-2024-02-00005	EDICION OC	P-0055-24-0006-00046	43,055.65	PENDIENTE	2024-02-05 09:34:47			9405184651		COMFICA	INTEGRAL INGENIEROS CONSULTORES . SEDAPAL	CARTA N°008? 2024/ INTGR	2024/01/18	Terminado"
"M-24-01-029	ADICIONAL COLECTOR CIRCUNVALACION - M-23-08-040 - AV BENEMERITA GUARDIA CIVIL Y AV MATELLINI	OBRA PUBLICA	CONSORCIOS PRIVADOS	NO	OP-2024-02-00006	CERTIFICACION OC	P-0055-24-0006-00046	43,055.65	EN ESPERA DE EDICION	2024-02-05 09:34:47		ATENDIDO EECC	9405184651		COMFICA	INTEGRAL INGENIEROS CONSULTORES . SEDAPAL	CARTA N°008? 2024/ INTGR	2024/01/18	Terminado"
"M-24-01-028	REUBICACIÓN DE POSTE-CENTRO ABASTECIMIENTO-IQUITOS	OBRA PUBLICA	CONSORCIOS PRIVADOS	NO	OP-2024-01-00026	CREACION OC	P-0055-24-0006-00045	15,000.00	PENDIENTE	2024-01-26 11:32:05					LARI	CONSTRUCTORA Y CONSULTORIA MC EIRL	CARTA 015 - 2023-CCMC- AGROP.	2024/01/18	Registrado"
"M-24-01-027	REUBICACION DE 06 POSTES - IRRIGACION VENADO MUERTO - GRANJA SUPE  DE SAN FERNANDO	OBRA PUBLICA	CONSORCIOS PRIVADOS	NO	OP-2024-01-00024	CREACION OC	P-0055-24-0006-00042	15,000.00	ATENDIDO	2024-01-17 16:20:49	2024-01-18 15:01:39		9405166889		LARI	GRANJA SUPE SAN FERNANDO - CR VENADO MUERTO SUPE 	OFICIO 014-2023 - CRVM - GMM-P - Supe Pueblo 	2024/01/10	Terminado"
"M-24-01-027	REUBICACION DE 06 POSTES - IRRIGACION VENADO MUERTO - GRANJA SUPE  DE SAN FERNANDO	OBRA PUBLICA	CONSORCIOS PRIVADOS	NO	OP-2024-02-00001	EDICION OC	P-0055-24-0006-00042	4,205.44	ATENDIDO	2024-02-01 11:52:13	2024-02-01 19:03:40		9405166889		LARI	GRANJA SUPE SAN FERNANDO - CR VENADO MUERTO SUPE 	OFICIO 014-2023 - CRVM - GMM-P - Supe Pueblo 	2024/01/10	Terminado"
"M-24-01-027	REUBICACION DE 06 POSTES - IRRIGACION VENADO MUERTO - GRANJA SUPE  DE SAN FERNANDO	OBRA PUBLICA	CONSORCIOS PRIVADOS	NO	OP-2024-02-00002	CERTIFICACION OC	P-0055-24-0006-00042	4,205.44	EN ESPERA DE ACTA	2024-02-01 11:52:13		ATENDIDO EECC	9405166889		LARI	GRANJA SUPE SAN FERNANDO - CR VENADO MUERTO SUPE 	OFICIO 014-2023 - CRVM - GMM-P - Supe Pueblo 	2024/01/10	Terminado"
"M-24-01-026	JR. SEBASTIAN BARRANCA LA VICTORIA - LIMA	OBRA PUBLICA	MUNICIPALIDADES	NO	OP-2024-01-00025	CREACION OC	P-0055-24-0006-00025	15,000.00	ATENDIDO	2024-01-17 16:21:24	2024-01-18 15:01:39		9405166927		LARI	MML - GOBIERNO REGIONAL METROPOLITANO	CARTA N° 388-2023-MML-ALC-GRML-SRI.	2024/01/08	Terminado"
