"ITEMPLAN MADRE	ESTADO ITEM. MADRE	CANT. HIJOS	NOMBRE ITEM. MADRE	PROYECTO	SUBPROYECTO	PRIORIDAD	PEP1	PEP2	ORDEN DE COMPRA	SITUACION.	MONTO.	# CERT.	EECC	ENCARGADO	# CARTA	FECHA RECEPCION	# FACTURA	ESTADO FACTURA	FECHA VALIDACION"
"M-20-05-001	Certificado	1	INVERMET CARTA 47 Y 67 - Reubicación de interferencias de redes en las intermediaciones de la Av. Argentina en el distrito del Cercado de Lima, ( dent	OBRA PUBLICA	MUNICIPALIDADES	SI	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403349558	OC CERTIFICADA	1741.95	5031130301	COBRA	MUNICIPALIDAD METROPOLITANA DE LIMA	047-2020 INVERMET	01/05/2020/			2020-12-14 07:17:05"
"M-20-05-002	Certificado	1	Reubicación de TDP por Ampliación vía expresa Tramo Jr Humboldt y Jr Garcia Naranjo	OBRA PUBLICA	EMAPE	SI	P-0055-20-0114-00001	P-0055-20-0114-00001-005	9403051012	OC CERTIFICADA	6303.04		COBRA	EMAPE	EMAPE N° 185-2019-GCI	23/08/2019/	FEVC-00006899	EMITIDO	"
"M-20-05-003	Certificado	4	METRO DE LIMA - LINEA 2 - ESTACION13 - WASHINGTON REUBICACION DE INFRAESTRUC TDP	OBRA PUBLICA	MTC	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403071865	OC CERTIFICADA	105964.88	5030795242	COBRA						"
"M-20-06-000	Certificado	2	Soterrado de Cables Av. El Polo Cda 6  - frente al predio 695  	OBRA PUBLICA	CONSORCIOS PRIVADOS	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403177333	OC CERTIFICADA	1882.41	5030793684	COBRA				FEVC-00006980	EMITIDO	"
"M-20-06-001	Cancelado	1	REubicacion de redes primarias y secundarias de FO y cableado aereo - Star Global - Tramo II	OBRA PUBLICA	GOBIERNOS REGIONALES	NO				SIN SOLICITUD OC	3600.00		DOMINION						"
"M-20-06-002	Certificado	20	ZONA COBRA - Puentes Peatonales y pasos a desnivel - 29 obras de PROVIAS MTC -  Zonal Trujillo 	OBRA PUBLICA	PROVIAS MTC	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403083635	OC CERTIFICADA	189090.83	5030795177	COBRA						2020-10-29 12:43:32"
"M-20-06-003	Certificado	42	ZONA LITEYCA 17 PUENTES Y PASOS A DESNIVEL DE 29 OBRAS DE PROVIAS MTC ZONAL CHIMBOTE 	OBRA PUBLICA	PROVIAS MTC	SI	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403349620	OC CERTIFICADA	73090.70	5031141580	LITEYCA	PROVIAS MTC	COORREO	01/09/2020/	0000-000-borrador	EMITIDO	2020-10-29 13:03:51"
"M-20-06-004	Certificado	3	ZONA LARI 01 PUENTE PEATONAL DE 29 OBRAS DE PROVIAS MTC ZONAL CHIMBOTE  PROVINCIA DE BARRANCA	OBRA PUBLICA	PROVIAS MTC	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403080921	OC CERTIFICADA	7606.83	5030795300	LARI	PROVIAS NACIONAL MTC	OFICIO N° 7477 -2020 - MTC/20.22.4	28/04/2022/	FEVC-00006353 	EMITIDO	"
"M-20-06-005	Certificado	3	PUENTE VIRU KM 520 + 200 - REUBICACION DE INFRAESTRUCTURA TDP 	OBRA PUBLICA	PROVIAS MTC	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403083642	OC CERTIFICADA	7392.32	5030813766	COBRA	PROVIAS MTC	OFICIO 28594-2019-MTC/20.22.4	26/08/2019/	FEVC-00006353 	EMITIDO	"
"M-20-06-006	Certificado	3	PUENTE SECHIN KM 376+400 PN - OBRAS PROVISIONAL Y DEFINITIVO - REUBICACION DE INFRAESTRUCTURA TDP	OBRA PUBLICA	PROVIAS MTC	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403334832	OC CERTIFICADA	2644.11	5031024784	LITEYCA						2020-09-27 07:40:02"
"M-20-06-007	Certificado	2	EVITAMIENTO DE HUARMEY- REUBICACION DE INFRAESTRUCTURA TDP	OBRA PUBLICA	PROVIAS MTC	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403092431	OC CERTIFICADA	7454.96	5030795303	LITEYCA	PROVIAS MTC	OFICIO N° 41504 DEL 03 DIC DEL 2019	19/06/2020/	 FEVC00007519  	EMITIDO	2020-09-09 12:17:24"
"M-20-06-008	Certificado	6	EVITM. CHIMBOTE-EVITM VIRU iNTER VIAL SALAVERRY	OBRA PUBLICA	PROVIAS MTC	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403092427	OC CERTIFICADA	127331.07	5031649131	COBRA	PROVIAS MTC	OFICIO 41505-2019- MTC-20.22.4 	22/06/2020/	 FEVC 00007154 	EMITIDO	"
"M-20-06-009	Certificado	5	PUENTES TUMBES REUB INFRAEST. TDP  OBRAS 1 Y 2 	OBRA PUBLICA	PROVIAS MTC	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403092407	OC CERTIFICADA	11279.20	5031649108	LITEYCA	PROVIAS MTC	INFORME 03-2019-MTC- 20.22.3PASM	22/06/2020/	FEVC-00007674	EMITIDO	"
"M-20-06-010	Certificado	6	PUENTES LAMBAYEQUE EL PAVO - LA LECHE - CHELE	OBRA PUBLICA	PROVIAS MTC	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403092470	OC CERTIFICADA	20289.15	5030795246	COBRA	PROVIAS MTC	OF. 4195 2020. MTC- 20.22.4 DEL 30 ENERO 2020	22/06/2020/			2020-09-08 21:01:23"
"M-20-06-011	Certificado	12	ALCANTARILLAS Reub.TDP en Autopista del Sol - Tramo desde Trujillo - hasta Sullana TC-01 al TC-05 KM 586+510 AL 702+258 Convenio 003 	OBRA PUBLICA	PROVIAS MTC	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403305011	OC CERTIFICADA	28994.54	5031649132	COBRA	PROVIAS MTC	CONVENIO  DE COOPERACION INTERINSTITUCIONAL 0	23/06/2020/	FEVC.00006158	EMITIDO	"
"M-20-06-012	Certificado	23	Puentes Puno obra 3 MTC 	OBRA PUBLICA	PROVIAS MTC	SI	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403334794	OC CERTIFICADA	83794.00	5031025200	EZENTIS	PROVIAS MTC	LISTA PRIORIZADA DE ALONSO CORNELIO - CORREO 	23/06/2020/	FEVC-00008517	EMITIDO	"
"M-20-06-013	Certificado	11	PUENTES ANCASH - JUNIN  OBRAS 01, 03 y 04 REUB. DE INFRAEST TDP  EN LA CONSTRUCCION DE PUENTES DE REEMPLAZO  	OBRA PUBLICA	PROVIAS MTC	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403092435	OC CERTIFICADA	7948.73	5030803766	LARI	PROVIAS MTC	OFICIO 32953 MTC del 02-10-2019	23/06/2020/	 FEVC 00007153 	EMITIDO	2020-10-15 17:18:01"
"M-20-06-014	Cerrado	2	RAMIRO PRIALE TRAMO ÑAÑA - PUENTE LOS ANGELES REUBICACION TDP	OBRA PUBLICA	MUNICIPALIDADES	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403177332	OC ANULADA	37000.00		LARI	MUNICIPALIDAD METROPOLITANA DE LIMA - RUTAS DE LIMA	CARTA N° 058-2020 MML DEL 21-01-2020	23/06/2020/			2020-10-29 12:42:36"
"M-20-06-015	Certificado	14	MEJORAMIENTO DE VIA EXPRESA DE CUSCO . REUBICACION DE TELEFONICA	OBRA PUBLICA	GOBIERNOS REGIONALES	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403177307	OC CERTIFICADA	53217.23	5030795244	EZENTIS	GOBIERNO REGIONAL DE CUSCO	OFICIO N°1100- 972-2019	23/06/2020/	 FEVC00007502 	EMITIDO	"
